# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan  2 09:45:47 2015
#
# CONSTRAINT:  where (pl_kepflag > 0
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc.[AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc.[AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN pl_msinijerr1:  Planet M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_msinijerr2:  Planet M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_msinijlim:   Planet M*sin(i) Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_vjerr:       V-band (Johnson) Unc. [mag]
# COLUMN st_vjlim:       V-band (Johnson) Limit Flag
# COLUMN st_vjblend:     V-band (Johnson) Blend Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr:     Effective Temperature Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_teffblend:   Effective Temperature Blend Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_massblend:   Stellar Mass Blend Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_radblend:    Stellar Radius Blend Flag
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_msinie:      Planet M*sin(i) [Earth mass]
# COLUMN pl_msinieerr1:  Planet M*sin(i) Upper Unc. [Earth mass]
# COLUMN pl_msinieerr2:  Planet M*sin(i) Lower Unc. [Earth mass]
# COLUMN pl_msinielim:   Planet M*sin(i) Limit Flag
# COLUMN pl_rads:        Planet Radius [Solar radii]
# COLUMN pl_radserr1:    Planet Radius Upper Unc. [Solar radii]
# COLUMN pl_radserr2:    Planet Radius Lower Unc. [Solar radii]
# COLUMN pl_radslim:     Planet Radius Limit Flag
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
# COLUMN st_sperr:       Spectral Type Unc.
# COLUMN st_splim:       Spectral Type Limit Flag
# COLUMN st_spblend:     Spectral Type Blend Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_loggblend:   Stellar Surface Gravity Blend Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr:     Stellar Density Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metfeerr:    Stellar Metallicity Unc. [dex]
# COLUMN st_metfelim:    Stellar Metallicity Limit Flag
# COLUMN st_metfeblend:  Stellar Metallicity Blend Flag
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_logg,st_loggerr,st_logglim,st_loggblend,st_dens,st_denserr,st_denslim,st_metfe,st_metfeerr,st_metfelim,st_metfeblend
799,Kepler-83,d,Transit,3,5.16979600,0.00001600,-0.00001600,0,0.051000,,,0,,,,,,,,,,,,,0.173,0.012,-0.012,0,,,,,,,,,0,1,18h48m55.80s,282.232513,+43d39m56.3s,43.665627,,,,,,,,,4648.00,116.00,0,0,0.66,0.41,0,0,0.59,0.03,0,0,,,,,,,,,,,0.018,0.001,-0.001,0,,,,,,4.72,0.20,0,0,,,,-0.195,,0,0
800,Kepler-84,b,Transit,5,8.72600000,,,0,,,,,,,,,,,,,,,,,0.199,0.009,-0.009,0,,,,,,,,,1,1,19h53m00.49s,298.252045,+40d29m45.9s,40.496075,,,,,,,,,6031.00,143.00,0,0,1.00,0.42,0,0,1.17,0.22,0,0,,,,,,,,,,,0.021,0.001,-0.001,0,,,,,,4.32,0.15,0,0,,,,-0.131,,0,0
801,Kepler-84,c,Transit,5,12.88300000,,,0,,,,,,,,,,,,,,,,,0.211,0.010,-0.010,0,,,,,,,,,1,1,19h53m00.49s,298.252045,+40d29m45.9s,40.496075,,,,,,,,,6031.00,143.00,0,0,1.00,0.42,0,0,1.17,0.22,0,0,,,,,,,,,,,0.022,0.001,-0.001,0,,,,,,4.32,0.15,0,0,,,,-0.131,,0,0
802,Kepler-84,d,Transit,5,4.22453700,0.00004200,-0.00004200,0,0.052000,,,0,,,,,,,,,,,,,0.123,0.024,-0.024,0,,,,,,,,,0,1,19h53m00.49s,298.252045,+40d29m45.9s,40.496075,,,,,,,,,6031.00,143.00,0,0,1.00,0.42,0,0,1.17,0.22,0,0,,,,,,,,,,,0.013,0.003,-0.003,0,,,,,,4.32,0.15,0,0,,,,-0.131,,0,0
803,Kepler-84,e,Transit,5,27.43438900,0.00022400,-0.00022400,0,0.181000,,,0,,,,,,,,,,,,,0.232,0.044,-0.044,0,,,,,,,,,0,1,19h53m00.49s,298.252045,+40d29m45.9s,40.496075,,,,,,,,,6031.00,143.00,0,0,1.00,0.42,0,0,1.17,0.22,0,0,,,,,,,,,,,0.024,0.004,-0.004,0,,,,,,4.32,0.15,0,0,,,,-0.131,,0,0
804,Kepler-84,f,Transit,5,44.55216900,0.00081200,-0.00081200,0,0.250000,,,0,,,,,,,,,,,,,0.196,0.038,-0.038,0,,,,,,,,,0,1,19h53m00.49s,298.252045,+40d29m45.9s,40.496075,,,,,,,,,6031.00,143.00,0,0,1.00,0.42,0,0,1.17,0.22,0,0,,,,,,,,,,,0.020,0.004,-0.004,0,,,,,,4.32,0.15,0,0,,,,-0.131,,0,0
805,Kepler-85,b,Transit,4,8.30600000,,,0,,,,,,,,,,,,,,,,,0.176,0.009,-0.009,0,,,,,,,,,1,1,19h23m53.62s,290.973419,+45d17m25.1s,45.290318,,,,,,,,,5436.00,100.00,0,0,0.92,0.40,0,0,0.89,0.13,0,0,,,,,,,,,,,0.018,0.001,-0.001,0,,,,,,4.49,0.15,0,0,,,,-0.031,,0,0
806,Kepler-85,c,Transit,4,12.51300000,,,0,,,,,,,,,,,,,,,,,0.194,0.009,-0.009,0,,,,,,,,,1,1,19h23m53.62s,290.973419,+45d17m25.1s,45.290318,,,,,,,,,5436.00,100.00,0,0,0.92,0.40,0,0,0.89,0.13,0,0,,,,,,,,,,,0.020,0.001,-0.001,0,,,,,,4.49,0.15,0,0,,,,-0.031,,0,0
807,Kepler-85,d,Transit,4,17.91323000,0.00026600,-0.00026600,0,0.130000,,,0,,,,,,,,,,,,,0.107,0.017,-0.017,0,,,,,,,,,0,1,19h23m53.62s,290.973419,+45d17m25.1s,45.290318,,,,,,,,,5436.00,100.00,0,0,0.92,0.40,0,0,0.89,0.13,0,0,,,,,,,,,,,0.011,0.002,-0.002,0,,,,,,4.49,0.15,0,0,,,,-0.031,,0,0
808,Kepler-85,e,Transit,4,25.21675100,0.00071800,-0.00071800,0,0.163000,,,0,,,,,,,,,,,,,0.113,0.018,-0.018,0,,,,,,,,,0,1,19h23m53.62s,290.973419,+45d17m25.1s,45.290318,,,,,,,,,5436.00,100.00,0,0,0.92,0.40,0,0,0.89,0.13,0,0,,,,,,,,,,,0.012,0.002,-0.002,0,,,,,,4.49,0.15,0,0,,,,-0.031,,0,0
809,PH2,b,Transit,1,282.52550000,0.00100000,-0.00100000,0,0.828000,0.009000,-0.009000,0,0.410000,0.080000,-0.290000,0,,,,,,,,,0.903,0.050,-0.050,0,,,,,89.830,0.030,-0.020,0,0,1,19h19m03.26s,289.763580,+51d57m45.4s,51.962601,,,,,,,,,5629.00,42.00,0,0,0.94,0.02,0,0,1.00,0.05,0,0,,,,,,,,,,,0.093,0.005,-0.005,0,,,,,,4.41,0.04,0,0,1.3000,0.3000,0,-0.078,0.032,0,0
810,Kepler-87,b,Transit,2,114.73635000,0.00015000,-0.00015000,0,0.481000,0.026000,-0.028000,0,0.036000,0.009000,-0.009000,0,1.02000,0.02800,-0.02800,0,,,,,1.204,0.049,-0.049,0,0.72900,0.02600,-0.02600,0,89.274,0.034,-0.030,0,0,1,19h51m40.05s,297.916870,+46d57m54.5s,46.965130,,,,,,,,,5600.00,50.00,0,0,1.10,0.05,0,0,1.82,0.04,0,0,,,324.20000,8.80000,-8.80000,0,,,,,0.124,0.005,-0.005,0,,,,,,3.96,0.02,0,0,,,,-0.170,0.030,0,0
811,Kepler-87,c,Transit,2,191.23180000,0.00150000,-0.00150000,0,0.676000,0.037000,-0.040000,0,0.039000,0.012000,-0.012000,0,0.02000,0.00300,-0.00300,0,,,,,0.548,0.026,-0.026,0,0.15200,0.01900,-0.01900,0,89.588,0.031,-0.027,0,0,1,19h51m40.05s,297.916870,+46d57m54.5s,46.965130,,,,,,,,,5600.00,50.00,0,0,1.10,0.05,0,0,1.82,0.04,0,0,,,6.40000,0.80000,-0.80000,0,,,,,0.056,0.003,-0.003,0,,,,,,3.96,0.02,0,0,,,,-0.170,0.030,0,0
812,KOI-142,b,Transit,2,10.95416000,0.00011000,-0.00013000,0,,,,,0.055930,0.000470,-0.000310,0,0.02700,0.00800,-0.00800,0,,,,,0.337,0.035,-0.032,0,0.87000,0.42000,-0.31000,0,89.055,0.074,-0.070,0,1,1,19h24m35.54s,291.148102,+40d40m09.9s,40.669407,339.00,25.00,-23.00,0,13.110,0.160,0,0,5471.00,50.00,0,0,0.96,0.04,0,0,0.88,0.03,0,0,,,8.70000,2.50000,-2.50000,0,,,,,0.035,0.004,-0.003,0,4.60,G6 V,,0,0,4.53,0.03,0,0,,,,0.200,0.080,0,0
813,KOI-142,c,Transit Timing Variations,2,22.33950000,0.00190000,-0.00170000,0,0.155250,,,0,0.056280,0.001400,-0.002800,0,0.62600,0.02900,-0.03300,0,,,,,,,,,,,,,86.200,1.300,-1.600,0,0,1,19h24m35.54s,291.148102,+40d40m09.9s,40.669407,339.00,25.00,-23.00,0,13.110,0.160,0,0,5471.00,50.00,0,0,0.96,0.04,0,0,0.88,0.03,0,0,,,198.80000,9.20000,-10.60000,0,,,,,,,,,4.60,G6 V,,0,0,4.53,0.03,0,0,,,,0.200,0.080,0,0
814,KOI-94,b,Transit,4,3.74320800,0.00001500,-0.00001500,0,0.051190,0.000670,-0.000670,0,0.250000,0.170000,-0.170000,0,0.03300,0.01400,-0.01400,0,,,,,0.153,0.014,-0.014,0,10.10000,5.50000,-5.50000,0,89.300,0.570,-0.570,0,0,1,19h49m19.94s,297.333069,+41d53m28.0s,41.891117,,,,,,,,,6182.00,58.00,0,0,1.28,0.05,0,0,1.52,0.14,0,0,,,10.50000,4.60000,-4.60000,0,,,,,0.016,0.002,-0.002,0,,,,,,4.18,0.07,0,0,,,,0.023,0.002,0,0
815,KOI-94,c,Transit,4,10.42364800,0.00001600,-0.00001600,0,0.101300,0.001300,-0.001300,0,0.430000,0.230000,-0.230000,0,0.04900,0.01800,-0.04900,0,,,,,0.385,0.037,-0.037,0,0.91000,0.36000,-0.91000,0,88.360,0.750,-0.750,0,1,1,19h49m19.94s,297.333069,+41d53m28.0s,41.891117,,,,,,,,,6182.00,58.00,0,0,1.28,0.05,0,0,1.52,0.14,0,0,,,15.60000,5.70000,-15.60000,0,,,,,0.040,0.004,-0.004,0,,,,,,4.18,0.07,0,0,,,,0.023,0.002,0,0
816,KOI-94,d,Transit,4,22.34298900,0.00000670,-0.00000670,0,0.168400,0.002200,-0.002200,0,0.022000,0.038000,-0.038000,0,0.33400,0.03500,-0.03500,0,,,,,1.005,0.095,-0.095,0,0.36300,0.10100,-0.10100,0,89.871,0.123,-0.123,0,1,1,19h49m19.94s,297.333069,+41d53m28.0s,41.891117,,,,,,,,,6182.00,58.00,0,0,1.28,0.05,0,0,1.52,0.14,0,0,,,106.00000,11.00000,-11.00000,0,,,,,0.103,0.010,-0.010,0,,,,,,4.18,0.07,0,0,,,,0.023,0.002,0,0
817,KOI-94,e,Transit,4,54.32031000,0.00012000,-0.00012000,0,0.304600,0.004000,-0.004000,0,0.019000,0.230000,-0.230000,0,0.11000,0.05700,-0.08800,0,,,,,0.585,0.055,-0.055,0,0.60000,0.26000,-0.56000,0,89.760,0.150,-0.150,0,1,1,19h49m19.94s,297.333069,+41d53m28.0s,41.891117,,,,,,,,,6182.00,58.00,0,0,1.28,0.05,0,0,1.52,0.14,0,0,,,35.00000,18.00000,-28.00000,0,,,,,0.060,0.006,-0.006,0,,,,,,4.18,0.07,0,0,,,,0.023,0.002,0,0
818,KOI-351,b,Transit,7,7.00815100,0.00001900,-0.00001900,0,0.074000,0.016000,-0.016000,0,,,,,,,,,,,,,0.117,0.015,-0.015,0,,,,,89.400,1.500,-1.500,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,,,,,6080.00,260.00,0,0,1.20,0.10,0,0,1.20,0.10,0,0,,,,,,,,,,,0.012,0.002,-0.002,0,,,,,,4.40,,0,0,,,,-0.120,0.180,0,0
819,KOI-351,c,Transit,7,8.71937500,0.00002700,-0.00002700,0,0.089000,0.012000,-0.012000,0,,,,,,,,,,,,,0.106,0.012,-0.012,0,,,,,89.680,0.740,-0.740,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,,,,,6080.00,260.00,0,0,1.20,0.10,0,0,1.20,0.10,0,0,,,,,,,,,,,0.011,0.001,-0.001,0,,,,,,4.40,,0,0,,,,-0.120,0.180,0,0
820,KOI-351,d,Transit,7,59.73667000,0.00038000,-0.00038000,0,0.320000,0.050000,-0.050000,0,,,,,,,,,,,,,0.256,0.027,-0.027,0,,,,,89.710,0.290,-0.290,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,,,,,6080.00,260.00,0,0,1.20,0.10,0,0,1.20,0.10,0,0,,,,,,,,,,,0.026,0.003,-0.003,0,,,,,,4.40,,0,0,,,,-0.120,0.180,0,0
821,KOI-351,e,Transit,7,91.93913000,0.00073000,-0.00073000,0,0.420000,0.060000,-0.060000,0,,,,,,,,,,,,,0.237,0.026,-0.026,0,,,,,89.790,0.190,-0.190,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,,,,,6080.00,260.00,0,0,1.20,0.10,0,0,1.20,0.10,0,0,,,,,,,,,,,0.024,0.003,-0.003,0,,,,,,4.40,,0,0,,,,-0.120,0.180,0,0
822,KOI-351,f,Transit,7,124.91440000,0.00190000,-0.00190000,0,0.480000,0.090000,-0.090000,0,,,,,,,,,,,,,0.257,0.046,-0.046,0,,,,,89.770,0.310,-0.310,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,,,,,6080.00,260.00,0,0,1.20,0.10,0,0,1.20,0.10,0,0,,,,,,,,,,,0.026,0.005,-0.005,0,,,,,,4.40,,0,0,,,,-0.120,0.180,0,0
823,KOI-351,g,Transit,7,210.60697000,0.00043000,-0.00043000,,0.710000,0.080000,-0.080000,0,,,,,,,,,,,,,0.723,0.071,-0.071,0,,,,,89.800,0.060,-0.060,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,,,,,6080.00,260.00,0,0,1.20,0.10,0,0,1.20,0.10,0,0,,,,,,,,,,,0.074,0.007,-0.007,0,,,,,,4.40,,0,0,,,,-0.120,0.180,0,0
824,KOI-351,h,Transit,7,331.60059000,0.00037000,-0.00037000,0,1.010000,0.110000,-0.110000,0,,,,,,,,,,,,,1.008,0.089,-0.089,0,,,,,89.600,1.300,-1.300,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780.00,100.00,-100.00,0,,,,,6080.00,260.00,0,0,1.20,0.10,0,0,1.20,0.10,0,0,,,,,,,,,,,0.104,0.009,-0.009,0,,,,,,4.40,,0,0,,,,-0.120,0.180,0,0
825,Kepler-91,b,Transit,1,6.24658000,0.00008200,-0.00008200,0,0.072000,0.002000,-0.007000,0,0.066000,0.013000,-0.017000,0,0.88000,0.17000,-0.33000,0,,,,,1.384,0.011,-0.054,0,0.44000,0.13000,-0.07000,0,68.500,1.000,-1.600,0,0,1,19h02m41.49s,285.672882,+44d07m00.2s,44.116734,1030.00,150.00,-130.00,0,,,,,4550.00,75.00,0,0,1.31,0.10,0,0,6.30,0.16,0,0,,,279.68000,54.03000,-104.88000,0,,,,,0.142,0.001,-0.006,0,5.30,K3,,0,0,2.95,0.01,0,0,0.0073,0.0001,0,0.110,0.070,0,0
826,Kepler-92,b,Transit,2,13.74900000,,,0,,,,,,,,,0.20200,0.04400,-0.04400,0,,,,,0.313,0.009,-0.009,0,,,,,,,,,1,1,19h16m20.65s,289.086060,+41d33m46.6s,41.562943,,,,,,,,,5883.00,,0,0,1.21,0.08,0,0,1.70,0.05,0,0,,,64.30000,13.90000,-13.90000,0,,,,,0.032,0.001,-0.001,0,,,,,,4.05,0.01,0,0,,,,,,,
827,Kepler-92,c,Transit,2,26.72300000,,,0,,,,,,,,,0.01900,0.00600,-0.00600,0,,,,,0.232,0.007,-0.007,0,,,,,,,,,1,1,19h16m20.65s,289.086060,+41d33m46.6s,41.562943,,,,,,,,,5883.00,,0,0,1.21,0.08,0,0,1.70,0.05,0,0,,,6.10000,1.80000,-1.80000,0,,,,,0.024,0.001,-0.001,0,,,,,,4.05,0.01,0,0,,,,,,,
828,Kepler-93,b,Transit,2,4.72674000,,,0,,,,,,,,,0.00800,0.00600,-0.00600,0,,,,,0.134,0.003,-0.003,0,4.17000,3.29000,-3.29000,0,,,,,0,1,19h25m40.39s,291.418274,+38d40m20.5s,38.672356,,,,,,,,,5669.00,75.00,0,0,0.91,0.06,0,0,0.92,0.02,0,0,,,2.59000,2.00000,-2.00000,0,,,,,0.014,0.000,0.000,0,,,,,,4.47,0.03,0,0,1.6400,0.0100,0,-0.180,0.100,0,0
829,Kepler-93,c,Radial Velocity,2,1460.00000000,,,-1,,,,,,,,,3.00000,,,-1,,,,,,,,,,,,,,,,,0,1,19h25m40.39s,291.418274,+38d40m20.5s,38.672356,,,,,,,,,5669.00,75.00,0,0,0.91,0.06,0,0,0.92,0.02,0,0,,,954.00000,,,-1,,,,,,,,,,,,,,4.47,0.03,0,0,1.6400,0.0100,0,-0.180,0.100,0,0
830,Kepler-94,b,Transit,2,2.50806000,,,0,,,,,,,,,0.03400,0.00400,-0.00400,0,,,,,0.313,0.013,-0.013,0,1.45000,0.26000,-0.26000,0,,,,,0,1,18h44m46.74s,281.194733,+47d29m49.7s,47.497147,,,,,,,,,4781.00,98.00,0,0,0.81,0.06,0,0,0.76,0.03,0,0,,,10.84000,1.40000,-1.40000,0,,,,,0.032,0.001,-0.001,0,,,,,,4.59,0.04,0,0,2.9000,0.2300,0,0.340,0.070,0,0
831,Kepler-94,c,Radial Velocity,2,820.30000000,3.00000000,-3.00000000,0,,,,,,,,,9.83600,0.62900,-0.62900,0,,,,,,,,,,,,,,,,,0,1,18h44m46.74s,281.194733,+47d29m49.7s,47.497147,,,,,,,,,4781.00,98.00,0,0,0.81,0.06,0,0,0.76,0.03,0,0,,,3126.00000,200.00000,-200.00000,0,,,,,,,,,,,,,,4.59,0.04,0,0,2.9000,0.2300,0,0.340,0.070,0,0
832,Kepler-95,b,Transit,1,11.52310000,,,0,,,,,,,,,0.04100,0.00900,-0.00900,0,,,,,0.305,0.008,-0.008,0,1.71000,0.37000,-0.37000,0,,,,,0,1,18h57m55.79s,284.482452,+44d23m52.9s,44.398037,,,,,,,,,5699.00,74.00,0,0,1.08,0.08,0,0,1.41,0.04,0,0,,,13.00000,2.90000,-2.90000,0,,,,,0.031,0.001,-0.001,0,,,,,,4.17,0.04,0,0,0.5400,0.0200,0,0.300,0.100,0,0
833,Kepler-96,b,Transit,1,16.23850000,,,0,,,,,,,,,0.02700,0.01100,-0.01100,0,,,,,0.238,0.020,-0.020,0,2.26000,1.11000,-1.11000,0,,,,,0,1,19h48m16.71s,297.069641,+40d31m30.5s,40.525143,,,,,,,,,5690.00,73.00,0,0,1.00,0.06,0,0,1.02,0.09,0,0,,,8.46000,3.40000,-3.40000,0,,,,,0.025,0.002,-0.002,0,,,,,,4.42,0.08,0,0,1.5400,0.2500,0,0.040,0.070,0,0
834,Kepler-97,b,Transit,2,2.58664000,,,0,,,,,,,,,0.01100,0.00600,-0.00600,0,,,,,0.132,0.012,-0.012,0,5.44000,3.48000,-3.48000,0,,,,,0,1,19h09m18.39s,287.326630,+48d40m24.4s,48.673431,,,,,,,,,5779.00,74.00,0,0,0.94,0.06,0,0,0.98,0.09,0,0,,,3.51000,1.90000,-1.90000,0,,,,,0.014,0.001,-0.001,0,,,,,,4.43,0.08,0,0,1.5300,0.3100,0,-0.200,0.070,0,0
835,Kepler-97,c,Radial Velocity,2,789.00000000,,,-1,,,,,,,,,1.08000,,,-1,,,,,,,,,,,,,,,,,0,1,19h09m18.39s,287.326630,+48d40m24.4s,48.673431,,,,,,,,,5779.00,74.00,0,0,0.94,0.06,0,0,0.98,0.09,0,0,,,344.00000,,,-1,,,,,,,,,,,,,,4.43,0.08,0,0,1.5300,0.3100,0,-0.200,0.070,0,0
836,Kepler-98,b,Transit,1,1.54168000,,,0,,,,,,,,,0.01100,0.00500,-0.00500,0,,,,,0.178,0.020,-0.020,0,2.18000,1.21000,-1.21000,0,,,,,0,1,19h02m38.80s,285.661652,+37d57m52.2s,37.964504,,,,,,,,,5539.00,73.00,0,0,0.99,0.06,0,0,1.11,0.12,0,0,,,3.55000,1.60000,-1.60000,0,,,,,0.018,0.002,-0.002,0,,,,,,4.34,0.10,0,0,1.1200,0.3400,0,0.180,0.070,0,0
837,Kepler-99,b,Transit,1,4.60358000,,,0,,,,,,,,,0.01900,0.00400,-0.00400,0,,,,,0.132,0.007,-0.007,0,10.90000,2.82000,-2.82000,0,,,,,0,1,19h49m24.96s,297.354004,+41d18m00.2s,41.300049,,,,,,,,,4782.00,129.00,0,0,0.79,0.06,0,0,0.73,0.04,0,0,,,6.15000,1.30000,-1.30000,0,,,,,0.014,0.001,-0.001,0,,,,,,4.61,0.05,0,0,2.8600,0.2300,0,0.180,0.070,0,0
838,Kepler-100,b,Transit,3,6.88705000,,,0,,,,,,,,,0.02300,0.01000,-0.01000,0,,,,,0.118,0.004,-0.004,0,14.25000,6.33000,-6.33000,0,,,,,0,1,19h25m32.64s,291.385986,+41d59m25.0s,41.990273,,,,,,,,,5825.00,75.00,0,0,1.08,0.06,0,0,1.49,0.04,0,0,,,7.34000,3.20000,-3.20000,0,,,,,0.012,0.000,0.000,0,,,,,,4.12,0.03,0,0,0.4400,0.0100,0,0.020,0.100,0,0
839,Kepler-100,c,Transit,3,12.81590000,,,0,,,,,,,,,0.00300,0.01300,-0.01300,0,,,,,0.196,0.004,-0.004,0,0.35000,1.65000,-1.65000,0,,,,,0,1,19h25m32.64s,291.385986,+41d59m25.0s,41.990273,,,,,,,,,5825.00,75.00,0,0,1.08,0.06,0,0,1.49,0.04,0,0,,,0.85000,4.00000,-4.00000,0,,,,,0.020,0.001,-0.001,0,,,,,,4.12,0.03,0,0,0.4400,0.0100,0,0.020,0.100,0,0
840,Kepler-100,d,Transit,3,35.33310000,,,0,,,,,,,,,0.00900,,,1,,,,,0.144,0.004,-0.004,0,,,,,,,,,0,1,19h25m32.64s,291.385986,+41d59m25.0s,41.990273,,,,,,,,,5825.00,75.00,0,0,1.08,0.06,0,0,1.49,0.04,0,0,,,3.00000,,,1,,,,,0.015,0.001,-0.001,0,,,,,,4.12,0.03,0,0,0.4400,0.0100,0,0.020,0.100,0,0
